Employee_ID,Base_Salary,Overtime_Hours,Years_At_Company,Job_Level,Promoted_This_Year,Department
EMP_0066,85261.44,1.1,13,Junior,No,Sales
EMP_0067,39196.67,1.2,5,Mid-Level,No,Marketing
EMP_0068,74887.71,0.6,11,Mid-Level,No,Finance
EMP_0069,66796.18,3.3,12,Junior,No,Engineering
EMP_0070,82123.37,12.7,11,Mid-Level,No,Engineering
EMP_0071,52028.21,6.7,13,Junior,No,Human Resources
EMP_0072,103838.95,10.8,5,Mid-Level,No,Marketing
EMP_0073,72814.62,2.4,8,Senior,No,Human Resources
EMP_0074,280000.0,7.5,13,Junior,No,Sales
EMP_0075,61356.37,22.4,10,Junior,No,Marketing
EMP_0076,90115.57,10.8,14,Junior,Yes,Sales
EMP_0077,98948.04,3.6,3,Mid-Level,No,Human Resources
EMP_0078,55645.91,3.4,5,Junior,No,Human Resources
EMP_0079,67374.63,1.1,3,Junior,No,Sales
EMP_0080,88983.54,14.8,6,Senior,No,Engineering
EMP_0081,82428.59,4.5,6,Executive,Yes,Human Resources
EMP_0082,63040.12,12.2,1,Junior,No,Human Resources
EMP_0083,78734.27,1.7,9,Mid-Level,No,Marketing
EMP_0084,89940.41,0.0,9,Executive,Yes,Sales
EMP_0085,61523.79,17.0,2,Senior,Yes,Human Resources
EMP_0086,83030.17,17.0,13,Junior,No,Sales
EMP_0087,91231.36,7.0,9,Mid-Level,No,Engineering
EMP_0088,76388.47,0.8,8,Senior,No,Finance
EMP_0089,65468.53,5.7,2,Mid-Level,No,Marketing
EMP_0090,83879.86,5.4,5,Senior,No,Finance
EMP_0091,68123.98,5.4,9,Senior,No,Human Resources
EMP_0092,110974.73,11.3,1,Mid-Level,No,Marketing
EMP_0093,59940.55,20.5,3,Junior,No,Sales
EMP_0094,79878.23,3.2,12,Junior,No,Sales
EMP_0095,95991.55,7.7,3,Senior,Yes,Human Resources
EMP_0096,68288.57,45.0,13,Junior,Yes,Sales
EMP_0097,56590.51,12.3,11,Mid-Level,No,Finance
EMP_0098,58450.59,16.1,4,Mid-Level,No,Sales
EMP_0099,62281.98,23.4,14,Junior,No,Engineering
EMP_0100,66816.19,4.6,4,Mid-Level,No,Engineering
