sl_no,gender,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,internship_score,salary
71,F,,Commerce,66.44,Comm&Mgmt,58.92,Mkt&HR,56.85,,
72,M,74.75,Commerce,58.52,Sci&Tech,92.3,Mkt&HR,66.2,,
73,M,57.73,Commerce,68.43,Comm&Mgmt,82.21,Mkt&Fin,58.55,92.41,
74,F,66.4,Commerce,65.55,Comm&Mgmt,47.93,Mkt&Fin,62.73,,
75,F,34.59,Commerce,63.85,Sci&Tech,85.5,Mkt&Fin,77.36,54.81,533000.0
76,F,56.76,Commerce,57.83,Comm&Mgmt,81.37,Mkt&HR,61.42,,
77,F,64.47,Science,60.81,Comm&Mgmt,89.75,Mkt&Fin,68.9,,382000.0
78,M,54.52,Science,72.8,Comm&Mgmt,68.58,Mkt&HR,57.78,,429000.0
79,M,83.32,Science,70.51,Others,66.5,Mkt&Fin,61.79,,207000.0
80,M,52.7,Commerce,57.2,Comm&Mgmt,74.48,Mkt&Fin,72.62,,226000.0
81,F,,Commerce,66.89,Sci&Tech,60.71,Mkt&HR,58.24,,413000.0
82,F,68.31,Commerce,72.76,Comm&Mgmt,71.29,Mkt&Fin,72.87,,484000.0
83,M,81.41,Science,50.98,Comm&Mgmt,68.62,Mkt&Fin,66.25,,327000.0
84,M,52.64,Science,70.89,Comm&Mgmt,72.49,Mkt&Fin,58.63,,
85,M,78.63,Commerce,60.04,Others,77.32,Mkt&HR,65.79,,538000.0
86,M,67.1,Arts,71.14,,59.01,Mkt&HR,67.84,,
87,F,57.18,Commerce,59.13,Sci&Tech,95.1,Mkt&Fin,65.73,,
88,F,71.62,Science,49.76,Sci&Tech,88.37,Mkt&Fin,52.58,75.94,
89,F,68.99,Science,51.35,Comm&Mgmt,75.66,Mkt&Fin,57.64,85.34,
90,M,61.0,Science,66.43,Comm&Mgmt,44.52,Mkt&HR,60.51,,362000.0
91,M,67.7,Science,68.34,Comm&Mgmt,85.98,Mkt&HR,61.55,,
92,F,63.15,Science,57.86,Comm&Mgmt,59.79,Mkt&Fin,65.72,65.37,
93,F,68.14,Commerce,71.75,Sci&Tech,96.31,Mkt&Fin,63.07,,272000.0
94,M,73.62,Science,51.05,Others,69.28,Mkt&Fin,53.99,,
95,F,82.86,Commerce,65.41,Comm&Mgmt,58.26,Mkt&HR,64.28,,111000.0
96,M,54.62,Science,55.1,Comm&Mgmt,65.9,Mkt&HR,65.66,,242000.0
97,M,88.33,Science,60.13,Sci&Tech,69.58,Mkt&Fin,65.36,,292000.0
98,M,47.48,Science,66.43,Comm&Mgmt,70.97,Mkt&Fin,68.48,,
99,M,65.48,Commerce,58.26,Sci&Tech,57.87,Mkt&Fin,67.0,102.26,
100,M,72.88,Science,62.54,Comm&Mgmt,78.03,Mkt&HR,64.76,,
101,M,,Science,75.06,Sci&Tech,78.41,Mkt&Fin,61.58,80.9,
102,F,60.77,Science,60.81,Comm&Mgmt,46.77,Mkt&HR,52.03,,465000.0
103,M,64.92,Commerce,73.52,Comm&Mgmt,83.29,Mkt&HR,64.58,,228000.0
104,M,62.07,Commerce,55.83,Comm&Mgmt,65.73,Mkt&Fin,63.25,,255000.0
105,F,61.11,Commerce,70.77,Comm&Mgmt,57.69,Mkt&Fin,63.63,,261000.0
106,M,75.5,Commerce,78.97,Comm&Mgmt,72.04,Mkt&Fin,54.34,,
107,M,70.57,Science,43.76,Sci&Tech,76.22,Mkt&HR,55.51,,
108,F,60.07,Commerce,58.83,Sci&Tech,35.59,Mkt&HR,68.32,,
109,M,76.0,Arts,71.19,Comm&Mgmt,93.56,Mkt&HR,61.76,,181000.0
110,M,70.07,Commerce,64.17,Comm&Mgmt,56.77,Mkt&Fin,66.09,,334000.0
111,M,75.13,Commerce,69.34,Comm&Mgmt,70.87,Mkt&Fin,62.17,,334000.0
112,M,73.3,Science,60.56,Comm&Mgmt,69.06,Mkt&HR,62.18,,202000.0
113,F,58.71,Science,66.78,Comm&Mgmt,81.59,Mkt&HR,67.63,,
114,F,61.4,Commerce,64.6,Comm&Mgmt,83.28,Mkt&Fin,58.9,,
115,F,74.47,Science,76.51,Comm&Mgmt,77.24,Mkt&HR,62.58,,293000.0
116,F,73.1,Science,68.29,Comm&Mgmt,31.53,Mkt&HR,59.23,73.24,358000.0
117,F,66.79,Commerce,69.04,Comm&Mgmt,45.74,Mkt&HR,59.39,85.09,265000.0
118,M,68.17,Arts,62.29,Comm&Mgmt,78.82,Mkt&HR,60.14,,315000.0
119,F,79.78,Arts,61.61,Others,68.98,Mkt&HR,63.33,,224000.0
120,M,61.08,Science,62.11,Comm&Mgmt,74.2,Mkt&HR,59.13,,
121,F,72.47,Commerce,69.55,Sci&Tech,78.7,Mkt&Fin,69.53,,250000.0
122,F,64.98,Science,62.21,Comm&Mgmt,81.93,Mkt&Fin,56.63,,
123,M,64.82,Commerce,68.61,Comm&Mgmt,85.09,Mkt&HR,60.88,,252000.0
124,M,,Commerce,84.68,Sci&Tech,67.79,Mkt&Fin,59.36,,156000.0
125,M,75.25,Commerce,73.84,Sci&Tech,67.77,Mkt&Fin,70.68,53.69,226000.0
126,M,75.14,Commerce,63.07,Others,66.73,Mkt&Fin,63.18,87.77,
127,F,80.05,Science,76.81,Comm&Mgmt,75.01,Mkt&Fin,68.19,,245000.0
128,F,67.21,Science,62.33,Comm&Mgmt,83.44,Mkt&HR,53.09,,
129,M,73.82,Science,47.66,Sci&Tech,79.41,Mkt&HR,63.6,80.33,
130,M,63.9,Commerce,56.93,Comm&Mgmt,94.77,Mkt&Fin,67.34,,317000.0
131,M,70.24,Commerce,49.16,Comm&Mgmt,65.82,Mkt&Fin,62.49,,
132,M,65.7,Commerce,62.84,Comm&Mgmt,95.45,Mkt&Fin,68.39,,
133,M,67.97,Arts,66.17,Comm&Mgmt,51.79,Mkt&HR,58.9,,
134,M,72.95,Commerce,81.09,Sci&Tech,61.84,Mkt&HR,70.46,73.83,186000.0
135,F,58.82,Science,68.94,Comm&Mgmt,37.51,Mkt&Fin,75.79,,226000.0
136,M,87.92,Science,64.03,Comm&Mgmt,55.32,Mkt&HR,59.82,,237000.0
137,M,56.94,Commerce,73.46,Comm&Mgmt,82.24,Mkt&HR,59.33,,205000.0
138,F,54.86,Science,46.1,Comm&Mgmt,70.57,Mkt&HR,70.72,,170000.0
139,M,78.58,Commerce,68.12,Comm&Mgmt,83.6,Mkt&HR,71.48,,229000.0
140,F,74.92,Science,72.94,Comm&Mgmt,73.59,Mkt&Fin,58.86,,286000.0
141,F,73.24,Arts,52.69,Comm&Mgmt,46.5,Mkt&HR,59.48,,
142,M,73.28,Commerce,76.29,Sci&Tech,68.05,Mkt&Fin,60.31,67.63,221000.0
143,M,66.88,Commerce,69.05,Comm&Mgmt,89.56,Mkt&HR,53.93,,
144,M,58.03,Science,62.26,Comm&Mgmt,73.97,Mkt&HR,56.49,94.06,194000.0
145,M,67.76,Arts,71.7,Sci&Tech,73.15,Mkt&HR,55.98,83.34,265000.0
146,M,60.23,Commerce,86.44,Sci&Tech,78.35,Mkt&HR,57.39,61.31,199000.0
147,F,76.75,Science,67.64,Comm&Mgmt,43.02,Mkt&Fin,61.79,73.66,328000.0
148,M,65.53,Science,68.23,Comm&Mgmt,64.91,Mkt&Fin,63.41,,144000.0
149,M,58.75,Science,61.87,Comm&Mgmt,71.53,Mkt&HR,71.3,,237000.0
150,M,63.79,Commerce,58.35,Sci&Tech,62.01,Mkt&HR,56.01,,
151,F,71.13,Science,73.47,Others,64.5,Mkt&Fin,67.91,69.27,286000.0
152,M,61.36,Arts,58.3,Sci&Tech,86.98,Mkt&Fin,60.72,59.94,
153,M,58.78,Commerce,66.64,Comm&Mgmt,46.42,Mkt&Fin,61.7,73.47,303000.0
154,M,69.44,Commerce,61.7,Sci&Tech,91.29,Mkt&HR,66.05,,
155,F,69.45,Arts,70.31,Comm&Mgmt,90.86,Mkt&HR,55.26,,260000.0
156,M,61.93,Commerce,69.0,Comm&Mgmt,88.02,Mkt&Fin,64.29,,144000.0
157,F,62.29,Science,75.34,Comm&Mgmt,34.54,Mkt&Fin,63.0,,261000.0
158,F,69.32,Commerce,61.41,Others,60.81,Mkt&HR,64.95,,200000.0
159,M,52.52,Commerce,63.57,Comm&Mgmt,87.51,Mkt&HR,63.74,,
160,F,52.93,Science,57.19,Sci&Tech,85.96,Mkt&Fin,76.73,,221000.0
161,M,59.82,Commerce,62.0,,80.62,Mkt&HR,58.17,,258000.0
162,F,64.87,Science,69.4,Comm&Mgmt,65.56,Mkt&Fin,58.81,97.77,215000.0
163,F,70.11,Commerce,72.81,Comm&Mgmt,69.71,Mkt&Fin,58.26,,493000.0
164,M,81.75,Science,57.7,Comm&Mgmt,71.08,Mkt&HR,58.67,,240000.0
165,M,75.58,Commerce,73.83,Sci&Tech,51.68,Mkt&HR,58.18,,510000.0
166,F,65.4,Commerce,78.2,,74.38,Mkt&HR,69.13,,357000.0
167,M,66.81,Arts,69.72,Sci&Tech,71.62,Mkt&HR,70.52,,318000.0
168,M,56.97,Commerce,82.89,Sci&Tech,71.11,Mkt&HR,58.58,76.58,305000.0
169,M,66.81,Science,59.04,Others,93.33,Mkt&Fin,57.01,69.55,308000.0
170,M,64.11,Commerce,54.8,Comm&Mgmt,70.38,Mkt&Fin,64.83,,137000.0
171,F,70.23,Science,49.99,Comm&Mgmt,71.11,Mkt&Fin,58.69,,243000.0
172,M,58.73,Commerce,79.46,Comm&Mgmt,76.27,Mkt&Fin,65.8,,361000.0
173,M,72.19,Arts,71.89,Others,61.72,Mkt&HR,63.22,75.63,264000.0
174,M,82.33,Commerce,65.5,Others,85.89,Mkt&HR,52.91,,164000.0
175,F,65.91,Commerce,68.52,Comm&Mgmt,81.97,Mkt&Fin,71.29,,263000.0
176,M,71.02,Commerce,55.87,Sci&Tech,90.24,Mkt&Fin,72.78,,487000.0
177,F,73.9,Commerce,88.01,,77.99,Mkt&HR,58.32,86.73,
178,M,62.99,Science,67.16,Comm&Mgmt,96.77,Mkt&Fin,59.67,,
179,F,69.24,Commerce,66.98,Comm&Mgmt,95.44,Mkt&HR,63.72,,374000.0
180,M,67.13,Science,72.53,Sci&Tech,77.83,Mkt&HR,64.01,,236000.0
181,M,67.98,Commerce,70.33,Comm&Mgmt,94.72,Mkt&HR,65.95,,148000.0
182,M,59.27,Commerce,,Sci&Tech,74.89,Mkt&Fin,74.06,43.76,
183,F,67.25,Science,58.89,Sci&Tech,59.71,Mkt&Fin,60.94,,464000.0
184,F,71.98,Science,70.24,Sci&Tech,47.28,Mkt&HR,57.21,,244000.0
185,M,81.51,Commerce,82.94,Comm&Mgmt,85.7,Mkt&HR,53.72,,246000.0
186,F,76.59,Commerce,78.11,Comm&Mgmt,81.66,Mkt&Fin,57.61,,
187,F,88.53,Commerce,80.34,Comm&Mgmt,90.02,Mkt&HR,61.8,,523000.0
188,M,59.33,Science,61.4,Comm&Mgmt,84.36,Mkt&Fin,72.77,,474000.0
189,M,75.72,Science,57.09,Comm&Mgmt,46.27,Mkt&HR,58.89,,583000.0
190,M,68.83,Commerce,64.87,,59.53,Mkt&Fin,63.34,55.83,254000.0
191,M,88.9,Science,66.5,Comm&Mgmt,81.68,Mkt&HR,61.9,,
192,F,58.92,Science,75.85,Comm&Mgmt,97.23,Mkt&Fin,69.13,72.44,158000.0
193,F,58.6,Science,50.77,Comm&Mgmt,97.33,Mkt&Fin,77.16,,450000.0
194,F,61.01,Science,79.77,Comm&Mgmt,80.31,Mkt&Fin,58.81,68.58,
195,M,45.76,Commerce,64.58,Comm&Mgmt,70.79,Mkt&Fin,59.06,,289000.0
196,M,61.74,Commerce,62.16,Comm&Mgmt,52.36,Mkt&HR,68.26,,
197,F,59.41,Commerce,56.89,Others,72.97,Mkt&HR,66.09,,
198,F,68.5,Commerce,51.11,Comm&Mgmt,62.02,Mkt&Fin,73.08,,200000.0
199,F,70.42,Science,,Others,94.46,Mkt&Fin,65.5,,217000.0
200,F,85.76,Arts,66.66,Sci&Tech,60.0,Mkt&HR,59.84,,222000.0
201,F,76.5,Commerce,54.39,Comm&Mgmt,66.33,Mkt&HR,65.54,,
202,M,61.23,Commerce,54.34,Others,92.58,Mkt&HR,68.65,,359000.0
203,M,58.02,Commerce,62.98,Comm&Mgmt,45.74,Mkt&Fin,66.92,,182000.0
204,F,71.92,Arts,81.02,Sci&Tech,83.06,Mkt&Fin,65.04,,290000.0
205,F,53.8,Commerce,63.66,Comm&Mgmt,66.22,Mkt&HR,68.4,,
206,M,85.31,Science,,Sci&Tech,81.24,Mkt&Fin,69.02,,
207,M,78.79,Commerce,63.79,Sci&Tech,91.56,Mkt&HR,70.29,,
208,F,62.31,Commerce,63.55,Sci&Tech,66.32,Mkt&Fin,65.89,,248000.0
209,M,49.87,Arts,41.73,Sci&Tech,61.5,Mkt&HR,61.0,,
210,M,80.54,Arts,65.51,Comm&Mgmt,45.04,Mkt&Fin,62.88,68.6,
211,M,,Commerce,63.92,Comm&Mgmt,85.46,Mkt&HR,69.24,,223000.0
212,F,79.38,Arts,72.27,Comm&Mgmt,57.22,Mkt&Fin,57.1,,318000.0
213,F,51.06,Science,82.64,Comm&Mgmt,94.21,Mkt&HR,64.21,,
214,M,61.01,Science,76.14,Sci&Tech,65.89,Mkt&Fin,59.64,,
215,F,67.05,Commerce,63.58,Comm&Mgmt,80.9,Mkt&HR,62.17,,310000.0
216,M,67.47,Science,56.04,Others,43.41,Mkt&HR,69.67,,241000.0
217,M,62.5,Commerce,89.16,Comm&Mgmt,73.36,Mkt&HR,63.15,,200000.0
218,F,73.23,Science,66.53,Sci&Tech,85.34,Mkt&HR,62.28,,197000.0
219,F,56.32,Commerce,66.13,Comm&Mgmt,66.3,Mkt&HR,53.84,,324000.0
220,F,65.58,Commerce,65.78,Sci&Tech,63.39,Mkt&HR,66.48,,
221,F,68.2,Commerce,67.78,Others,67.72,Mkt&Fin,65.87,,
222,M,72.14,Science,64.7,Comm&Mgmt,62.7,Mkt&HR,74.98,,315000.0
223,M,74.12,Commerce,60.84,Comm&Mgmt,77.11,Mkt&Fin,60.15,,129000.0
224,M,55.75,Science,61.08,Sci&Tech,73.64,Mkt&Fin,63.31,,
225,M,51.66,Arts,65.71,Comm&Mgmt,28.29,Mkt&Fin,63.5,68.02,
226,M,79.78,Commerce,61.11,Comm&Mgmt,82.57,Mkt&Fin,71.46,,
227,F,70.32,Science,59.58,Comm&Mgmt,73.9,Mkt&HR,61.43,,193000.0
228,M,59.52,Commerce,66.96,Comm&Mgmt,79.38,Mkt&HR,63.67,,212000.0
229,F,82.51,Science,63.71,Comm&Mgmt,67.8,Mkt&HR,65.65,,
230,F,68.16,Commerce,79.54,Comm&Mgmt,85.81,Mkt&Fin,63.12,,251000.0
231,F,78.79,Science,42.14,Comm&Mgmt,43.1,Mkt&Fin,59.32,,123000.0
232,M,67.68,Science,75.82,Comm&Mgmt,92.52,Mkt&Fin,63.16,,
233,M,87.61,Arts,77.21,Others,80.45,Mkt&Fin,68.44,,217000.0
234,M,84.55,Science,47.34,Comm&Mgmt,63.5,Mkt&Fin,55.84,,
235,M,64.51,Commerce,62.92,Others,65.4,Mkt&Fin,62.8,100.15,
236,F,76.72,Science,62.66,Comm&Mgmt,77.25,Mkt&Fin,57.8,,
237,M,73.45,Science,53.33,Comm&Mgmt,85.06,Mkt&HR,69.17,,
238,M,80.69,Science,59.0,Comm&Mgmt,69.99,Mkt&HR,52.86,65.25,
239,F,57.35,Commerce,56.0,Comm&Mgmt,91.66,Mkt&HR,58.65,74.41,
240,M,73.86,Arts,81.77,Comm&Mgmt,74.48,Mkt&HR,64.26,,307000.0
241,F,77.58,Science,74.42,Comm&Mgmt,72.78,Mkt&HR,71.39,,282000.0
242,F,49.41,Science,77.44,Comm&Mgmt,44.42,Mkt&Fin,61.61,92.41,127000.0
243,F,55.17,Commerce,72.5,Comm&Mgmt,91.97,Mkt&HR,58.67,,351000.0
244,M,46.61,Science,55.84,Sci&Tech,78.08,Mkt&HR,73.29,,289000.0
245,M,64.31,Commerce,61.28,Comm&Mgmt,73.53,Mkt&Fin,53.31,,
246,F,,Science,70.4,Comm&Mgmt,66.54,Mkt&Fin,48.81,78.76,
247,M,82.02,Commerce,55.0,Sci&Tech,46.18,Mkt&HR,64.64,,129000.0
248,F,67.74,Science,72.42,Comm&Mgmt,85.57,Mkt&Fin,58.99,92.6,491000.0
249,F,83.29,Arts,63.84,Comm&Mgmt,76.08,Mkt&HR,55.87,,
250,F,53.2,Commerce,62.63,Others,59.58,Mkt&HR,66.25,,297000.0
